LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
NEV,2238,0.807650667629015,2771,17.6946950559365,8,7148524.43323349,97,0.0350054132082281,0.697582100324793,0.34020618556701,0.0556460889570552
UTA,2293,0.793425605536332,2890,19.6484429065744,9,8044534.63430104,202,0.0698961937716263,0.747058823529412,0.282178217821782,0.0569988105536332
NWM,2672,0.789131718842292,3386,20.0457767277023,9,7900273.93487005,94,0.0277613703484938,0.763733018310691,0.319148936170213,0.0581830515357354
TEX,3565,0.768981880931838,4636,19.1386971527179,10,6118140.27188093,277,0.0597497842968076,0.727566867989646,0.382671480144404,0.0557323123382226
MXC,4291,0.613175192912261,6998,12.190911689054,6,4536500.41567734,295,0.0421549014004001,0.72649328379537,0.166101694915254,0.0359957755787368
MXG,4634,0.639966855406712,7241,14.1560557933987,8,5351191.61459605,288,0.0397735119458638,0.680568982184781,0.159722222222222,0.0388100314183124
MXN,4362,0.662615828649552,6583,11.4362752544433,5,4465125.66951542,898,0.136411970226341,0.714871639070333,0.393095768374165,0.0399122265684338
SAK,942,0.803754266211604,1172,31.3387372013652,15,17767151.4449915,56,0.0477815699658703,0.363481228668942,0.160714285714286,0.0791648890784983
JAP,3081,0.688799463447351,4473,13.9704896042924,4,7521788.8951822,1553,0.347194276771742,0.59669125866309,0.399871216999356,0.0617786580594679
NEP,3706,0.668229354489722,5546,15.4491525423729,7,8369718.05502885,364,0.0656328885683375,0.433285250631085,0.145604395604396,0.0509207086188244
BRC,2051,0.928474422815754,2209,28.5246717971933,16,13650059.5243775,20,0.00905387052965143,0.83974649162517,0.5,0.0781886600271616
IDA,1986,0.855665661352865,2321,23.4140456699698,11,9760587.95557518,47,0.020249892287807,0.739767341663076,0.382978723404255,0.0670070820766911
MNT,1933,0.901165501165501,2145,27.6540792540793,15,11817040.2026807,17,0.00792540792540793,0.665734265734266,0.411764705882353,0.0757357226107226
WAS,2094,0.883171657528469,2371,24.1649093209616,11,10252989.2378321,69,0.0291016448755799,0.785744411640658,0.391304347826087,0.0694656790383804
AGS,1282,0.635597421913733,2017,7.92216162617749,3,4080020.02386713,251,0.124442240951909,0.754090233019336,0.266932270916335,0.0382800880019831
CLC,1644,0.559945504087193,2936,6.13862397820164,2,2794367.56705041,955,0.325272479564033,0.678474114441417,0.329842931937173,0.0325804666212534
CLN,1045,0.60614849187935,1724,6.80742459396752,2,3365860.76492459,401,0.232598607888631,0.633410672853828,0.483790523690773,0.0330535817865429
